Week_Start_Date,Neighborhood,Population_Density_per_km2,Number_of_Businesses,Avg_Household_Size,Market_Present,Industrial_Zone,Collection_Frequency_per_Week,Month,Weekly_Waste_Weight_kg
2021-05-03,Bambili,4357,429,8.6,0,0,1,5,3735.4
2021-05-10,Bambili,4397,426,8.3,0,0,1,5,3258.2
2021-05-17,Bambili,4362,428,8.3,0,0,1,5,3492.9
2021-05-24,Bambili,4362,432,8.2,0,0,1,5,3867.4
2021-05-31,Bambili,4399,426,8.3,0,0,1,5,3835.8
2021-06-07,Bambili,4420,427,8.7,0,0,1,6,4173.7
2021-06-14,Bambili,4373,431,8.3,0,0,1,6,4047.2
2021-06-21,Bambili,4444,435,8.4,0,0,1,6,3417.3
2021-06-28,Bambili,4363,433,8.2,0,0,1,6,3697.9
2021-07-05,Bambili,4392,427,8.6,0,0,1,7,3510.3
2021-07-12,Bambili,4433,429,8.4,0,0,1,7,3794.3
2021-07-19,Bambili,4409,433,7.9,0,0,1,7,3825.7
2021-07-26,Bambili,4381,431,8.4,0,0,1,7,3038.2
2021-08-02,Bambili,4386,436,8.8,0,0,1,8,3013.0
2021-08-09,Bambili,4386,426,8.1,0,0,1,8,2702.1
2021-08-16,Bambili,4423,430,8.0,0,0,1,8,3509.7
2021-08-23,Bambili,4437,436,8.1,0,0,1,8,3336.3
2021-08-30,Bambili,4360,430,8.4,0,0,1,8,3560.4
2021-09-06,Bambili,4412,434,8.4,0,0,1,9,3475.6
2021-09-13,Bambili,4400,426,8.5,0,0,1,9,3614.0
2021-09-20,Bambili,4446,436,8.3,0,0,1,9,3678.9
2021-09-27,Bambili,4395,428,8.4,0,0,1,9,2930.0
2021-10-04,Bambili,4355,430,8.2,0,0,1,10,2874.7
2021-10-11,Bambili,4407,428,8.1,0,0,1,10,3277.4
2021-10-18,Bambili,4418,434,8.3,0,0,1,10,2965.1
2021-10-25,Bambili,4445,428,8.4,0,0,1,10,2864.3
2021-11-01,Bambili,4404,436,8.4,0,0,1,11,2804.8
2021-11-08,Bambili,4412,431,8.1,0,0,1,11,2684.4
2021-11-15,Bambili,4413,432,8.3,0,0,1,11,2529.3
2021-11-22,Bambili,4404,434,8.3,0,0,1,11,2744.3
2021-11-29,Bambili,4425,433,8.6,0,0,1,11,2919.2
2021-12-06,Bambili,4420,427,8.6,0,0,1,12,2857.9
2021-12-13,Bambili,4358,433,8.3,0,0,1,12,2570.9
2021-12-20,Bambili,4399,433,8.5,0,0,1,12,2320.2
2021-12-27,Bambili,4374,434,8.4,0,0,1,12,2754.6
2022-01-03,Bambili,4351,426,8.3,0,0,1,1,2629.8
2022-01-10,Bambili,4388,428,8.2,0,0,1,1,2748.9
2022-01-17,Bambili,4373,426,8.3,0,0,1,1,2632.5
2022-01-24,Bambili,4435,427,8.3,0,0,1,1,2816.6
2022-01-31,Bambili,4354,433,8.5,0,0,1,1,2743.5
2022-02-07,Bambili,4409,433,8.2,0,0,1,2,2503.4
2022-02-14,Bambili,4379,429,8.1,0,0,1,2,2895.8
2022-02-21,Bambili,4429,430,8.4,0,0,1,2,3035.2
2022-02-28,Bambili,4425,436,8.2,0,0,1,2,3284.0
2022-03-07,Bambili,4416,435,8.3,0,0,1,3,2718.3
2022-03-14,Bambili,4412,435,8.3,0,0,1,3,3309.5
2022-03-21,Bambili,4424,429,8.2,0,0,1,3,3491.4
2022-03-28,Bambili,4439,435,8.2,0,0,1,3,2818.6
2022-04-04,Bambili,4383,426,8.0,0,0,1,4,3531.8
2022-04-11,Bambili,4379,432,8.3,0,0,1,4,3348.5
2022-04-18,Bambili,4406,434,8.4,0,0,1,4,2943.6
2022-04-25,Bambili,4400,436,8.4,0,0,1,4,3281.4
2022-05-02,Bambili,4386,434,8.1,0,0,1,5,3281.0
2022-05-09,Bambili,4360,436,8.4,0,0,1,5,3624.5
2022-05-16,Bambili,4399,427,8.2,0,0,1,5,3320.7
2022-05-23,Bambili,4382,432,8.0,0,0,1,5,3445.6
2022-05-30,Bambili,4445,433,8.3,0,0,1,5,4372.5
2022-06-06,Bambili,4386,436,8.3,0,0,1,6,3679.5
2022-06-13,Bambili,4451,429,8.2,0,0,1,6,4342.5
2022-06-20,Bambili,4372,431,8.2,0,0,1,6,3669.1
2022-06-27,Bambili,4426,429,8.3,0,0,1,6,4126.5
2022-07-04,Bambili,4417,427,8.4,0,0,1,7,4077.5
2022-07-11,Bambili,4358,435,8.2,0,0,1,7,3372.9
2022-07-18,Bambili,4406,432,8.3,0,0,1,7,3668.7
2022-07-25,Bambili,4379,427,8.4,0,0,1,7,3547.6
2022-08-01,Bambili,4400,433,7.6,0,0,1,8,3560.4
2022-08-08,Bambili,4356,436,8.1,0,0,1,8,2799.6
2022-08-15,Bambili,4404,435,8.4,0,0,1,8,4196.1
2022-08-22,Bambili,4394,430,8.2,0,0,1,8,3731.0
2022-08-29,Bambili,4405,429,8.4,0,0,1,8,3084.6
2022-09-05,Bambili,4369,434,8.3,0,0,1,9,3429.6
2022-09-12,Bambili,4451,428,8.4,0,0,1,9,3287.7
2022-09-19,Bambili,4414,429,8.6,0,0,1,9,3286.9
2022-09-26,Bambili,4402,428,8.3,0,0,1,9,3364.3
2022-10-03,Bambili,4388,426,8.0,0,0,1,10,3039.2
2022-10-10,Bambili,4381,427,8.1,0,0,1,10,2803.2
2022-10-17,Bambili,4440,432,8.2,0,0,1,10,2905.1
2022-10-24,Bambili,4353,435,8.6,0,0,1,10,2930.3
2022-10-31,Bambili,4356,426,8.4,0,0,1,10,2974.9
2022-11-07,Bambili,4435,426,8.2,0,0,1,11,2523.5
2022-11-14,Bambili,4352,435,8.4,0,0,1,11,2868.4
2022-11-21,Bambili,4399,431,8.5,0,0,1,11,2960.1
2022-11-28,Bambili,4427,430,8.6,0,0,1,11,2529.3
2022-12-05,Bambili,4387,430,8.6,0,0,1,12,2899.5
2022-12-12,Bambili,4367,430,8.5,0,0,1,12,2628.5
2022-12-19,Bambili,4388,431,8.0,0,0,1,12,2664.5
2022-12-26,Bambili,4449,426,8.4,0,0,1,12,2550.3
2023-01-02,Bambili,4438,433,8.3,0,0,1,1,3083.9
2023-01-09,Bambili,4446,432,8.0,0,0,1,1,2953.3
2023-01-16,Bambili,4392,433,8.4,0,0,1,1,2708.2
2023-01-23,Bambili,4425,433,8.3,0,0,1,1,3130.2
2023-01-30,Bambili,4397,429,8.2,0,0,1,1,2963.8
2023-02-06,Bambili,4351,436,8.3,0,0,1,2,2849.9
2023-02-13,Bambili,4393,430,8.1,0,0,1,2,2802.7
2023-02-20,Bambili,4359,426,8.1,0,0,1,2,3015.8
2023-02-27,Bambili,4370,431,8.3,0,0,1,2,2499.0
2023-03-06,Bambili,4352,431,8.3,0,0,1,3,3055.3
2023-03-13,Bambili,4442,428,8.3,0,0,1,3,2944.7
2023-03-20,Bambili,4445,427,8.3,0,0,1,3,3127.6
2023-03-27,Bambili,4351,436,8.6,0,0,1,3,3404.3
2023-04-03,Bambili,4435,430,8.1,0,0,1,4,3579.0
2023-04-10,Bambili,4412,430,7.9,0,0,1,4,3748.8
2023-04-17,Bambili,4423,433,8.1,0,0,1,4,3699.0
2023-04-24,Bambili,4371,428,8.0,0,0,1,4,3715.0
2023-05-01,Bambili,4384,430,8.4,0,0,1,5,3556.8
2023-05-08,Bambili,4379,434,8.4,0,0,1,5,3505.5
2023-05-15,Bambili,4436,430,8.1,0,0,1,5,3305.8
2023-05-22,Bambili,4394,427,8.2,0,0,1,5,3986.1
2023-05-29,Bambili,4379,435,8.5,0,0,1,5,3462.5
2023-06-05,Bambili,4428,435,8.1,0,0,1,6,4492.0
2023-06-12,Bambili,4417,426,8.3,0,0,1,6,3983.0
2023-06-19,Bambili,4378,427,8.8,0,0,1,6,3761.1
2023-06-26,Bambili,4374,427,8.3,0,0,1,6,3567.2
2023-07-03,Bambili,4390,430,8.4,0,0,1,7,3388.3
2023-07-10,Bambili,4427,428,8.5,0,0,1,7,3763.3
2023-07-17,Bambili,4359,434,8.1,0,0,1,7,3542.0
2023-07-24,Bambili,4429,430,8.2,0,0,1,7,3273.1
2023-07-31,Bambili,4373,434,8.3,0,0,1,7,3960.2
2023-08-07,Bambili,4351,426,8.5,0,0,1,8,3165.1
2023-08-14,Bambili,4426,435,8.4,0,0,1,8,3471.4
2023-08-21,Bambili,4359,426,8.4,0,0,1,8,3768.9
2023-08-28,Bambili,4402,434,8.2,0,0,1,8,3702.1
2023-09-04,Bambili,4410,433,8.5,0,0,1,9,3147.6
2023-09-11,Bambili,4425,430,8.2,0,0,1,9,3120.9
2023-09-18,Bambili,4375,435,8.5,0,0,1,9,3505.6
2023-09-25,Bambili,4449,435,8.3,0,0,1,9,3272.0
2023-10-02,Bambili,4363,429,8.4,0,0,1,10,3595.1
2023-10-09,Bambili,4401,428,7.9,0,0,1,10,2850.0
2023-10-16,Bambili,4445,430,8.3,0,0,1,10,3083.7
2023-10-23,Bambili,4377,431,8.0,0,0,1,10,3044.3
2023-10-30,Bambili,4352,428,8.1,0,0,1,10,3103.9
2020-01-13,Up-Station,1341,143,5.5,0,0,3,1,899.8
2020-01-20,Up-Station,1372,139,5.0,0,0,3,1,859.6
2020-01-27,Up-Station,1310,135,5.1,0,0,3,1,929.4
2020-02-03,Up-Station,1312,142,5.1,0,0,3,2,982.3
2020-02-10,Up-Station,1356,136,5.3,0,0,3,2,1041.3
2020-02-17,Up-Station,1354,139,5.4,0,0,3,2,1016.8
2020-02-24,Up-Station,1352,137,5.6,0,0,3,2,923.2
2020-03-02,Up-Station,1339,138,5.2,0,0,3,3,955.4
2020-03-09,Up-Station,1315,141,5.3,0,0,3,3,946.2
2020-03-16,Up-Station,1339,136,5.5,0,0,3,3,941.7
2020-03-23,Up-Station,1339,142,5.4,0,0,3,3,1100.6
2020-03-30,Up-Station,1332,134,5.2,0,0,3,3,1001.2
2020-04-06,Up-Station,1335,141,5.5,0,0,3,4,1120.0
2020-04-13,Up-Station,1317,134,5.3,0,0,3,4,1161.2
2020-04-20,Up-Station,1324,135,5.0,0,0,3,4,1114.0
2020-04-27,Up-Station,1364,144,5.2,0,0,3,4,933.4
2020-05-04,Up-Station,1370,136,5.1,0,0,3,5,1055.4
2020-05-11,Up-Station,1298,136,5.1,0,0,3,5,1166.4
2020-05-18,Up-Station,1295,139,5.2,0,0,3,5,1116.7
2020-05-25,Up-Station,1368,138,5.6,0,0,3,5,1113.1
2020-06-01,Up-Station,1367,136,5.8,0,0,3,6,1059.2
2020-06-08,Up-Station,1365,144,5.3,0,0,3,6,1084.8
2020-06-15,Up-Station,1351,134,4.8,0,0,3,6,1265.5
2020-06-22,Up-Station,1344,138,5.1,0,0,3,6,1139.6
2020-06-29,Up-Station,1326,136,5.3,0,0,3,6,1207.0
2020-07-06,Up-Station,1327,134,5.2,0,0,3,7,1020.6
2020-07-13,Up-Station,1348,139,5.2,0,0,3,7,1160.0
2020-07-20,Up-Station,1339,136,5.6,0,0,3,7,1085.8
2020-07-27,Up-Station,1327,137,5.3,0,0,3,7,1127.4
2020-08-03,Up-Station,1353,141,5.4,0,0,3,8,921.6
2020-08-10,Up-Station,1287,134,5.4,0,0,3,8,1097.0
2020-08-17,Up-Station,1300,134,5.1,0,0,3,8,964.3
2020-08-24,Up-Station,1318,134,5.0,0,0,3,8,1103.6
2020-08-31,Up-Station,1375,141,5.5,0,0,3,8,931.9
2020-09-07,Up-Station,1285,141,5.5,0,0,3,9,1175.9
2020-09-14,Up-Station,1345,137,5.5,0,0,3,9,1087.3
2020-09-21,Up-Station,1360,136,5.4,0,0,3,9,935.8
2020-09-28,Up-Station,1308,134,5.6,0,0,3,9,1095.2
2020-10-05,Up-Station,1276,140,5.1,0,0,3,10,961.3
2020-10-12,Up-Station,1324,136,4.9,0,0,3,10,957.8
2020-10-19,Up-Station,1284,135,5.3,0,0,3,10,987.9
2020-10-26,Up-Station,1371,143,4.9,0,0,3,10,1059.4
2020-11-02,Up-Station,1331,144,5.1,0,0,3,11,926.7
2020-11-09,Up-Station,1298,136,5.3,0,0,3,11,853.6
2020-11-16,Up-Station,1339,139,5.1,0,0,3,11,905.7
2020-11-23,Up-Station,1355,143,5.4,0,0,3,11,822.1
2020-11-30,Up-Station,1287,137,5.5,0,0,3,11,959.2
2020-12-07,Up-Station,1305,137,5.3,0,0,3,12,858.7
2020-12-14,Up-Station,1316,143,5.1,0,0,3,12,754.2
2020-12-21,Up-Station,1291,141,5.2,0,0,3,12,793.1
2020-12-28,Up-Station,1304,135,5.5,0,0,3,12,860.7
2021-01-04,Up-Station,1337,137,5.8,0,0,3,1,862.2
2021-01-11,Up-Station,1291,136,5.4,0,0,3,1,960.7
2021-01-18,Up-Station,1295,136,5.2,0,0,3,1,867.9
2021-01-25,Up-Station,1361,138,5.2,0,0,3,1,892.9
2021-02-01,Up-Station,1278,136,5.3,0,0,3,2,882.1
2021-02-08,Up-Station,1353,143,5.2,0,0,3,2,1013.0
2021-02-15,Up-Station,1296,142,5.2,0,0,3,2,905.0
2021-02-22,Up-Station,1336,140,5.5,0,0,3,2,923.3
2021-03-01,Up-Station,1291,144,5.4,0,0,3,3,1013.7
2021-03-08,Up-Station,1366,143,5.0,0,0,3,3,1008.5
2021-03-15,Up-Station,1343,136,5.6,0,0,3,3,1149.9
2021-03-22,Up-Station,1312,142,5.1,0,0,3,3,1020.2
2021-03-29,Up-Station,1286,141,5.0,0,0,3,3,1001.3
2021-04-05,Up-Station,1365,141,5.5,0,0,3,4,1311.7
2021-04-12,Up-Station,1337,144,5.5,0,0,3,4,1112.8
2021-04-19,Up-Station,1343,134,5.3,0,0,3,4,1142.8
2021-04-26,Up-Station,1351,142,5.3,0,0,3,4,1014.9
2021-05-03,Up-Station,1316,136,5.5,0,0,3,5,1210.6
2021-05-10,Up-Station,1302,144,5.7,0,0,3,5,1185.3
2021-05-17,Up-Station,1349,143,5.2,0,0,3,5,1148.4
2021-05-24,Up-Station,1360,142,5.4,0,0,3,5,1137.2
2021-05-31,Up-Station,1367,144,5.1,0,0,3,5,1170.7
2021-06-07,Up-Station,1277,134,5.3,0,0,3,6,1088.4
2021-06-14,Up-Station,1315,136,5.2,0,0,3,6,934.2
2021-06-21,Up-Station,1367,137,5.6,0,0,3,6,1227.6
2021-06-28,Up-Station,1369,142,5.1,0,0,3,6,1287.0
2021-07-05,Up-Station,1316,134,5.1,0,0,3,7,1138.5
2021-07-12,Up-Station,1306,134,5.3,0,0,3,7,1147.5
2021-07-19,Up-Station,1298,134,5.4,0,0,3,7,1126.5
2021-07-26,Up-Station,1322,134,5.4,0,0,3,7,1177.1
2021-08-02,Up-Station,1312,144,5.5,0,0,3,8,1215.4
2021-08-09,Up-Station,1299,137,5.2,0,0,3,8,1030.3
2021-08-16,Up-Station,1309,140,5.4,0,0,3,8,1102.1
2021-08-23,Up-Station,1314,143,5.2,0,0,3,8,1062.0
2021-08-30,Up-Station,1332,144,5.1,0,0,3,8,1085.2
2021-09-06,Up-Station,1317,143,5.4,0,0,3,9,991.4
2021-09-13,Up-Station,1359,136,4.8,0,0,3,9,1082.3
2021-09-20,Up-Station,1285,143,5.3,0,0,3,9,1006.0
2021-09-27,Up-Station,1307,134,5.1,0,0,3,9,985.2
2021-10-04,Up-Station,1325,136,5.3,0,0,3,10,1081.3
2021-10-11,Up-Station,1373,144,5.5,0,0,3,10,1119.8
2021-10-18,Up-Station,1298,141,5.1,0,0,3,10,907.4
2021-10-25,Up-Station,1350,143,5.2,0,0,3,10,1094.5
2021-11-01,Up-Station,1358,135,5.2,0,0,3,11,941.5
2021-11-08,Up-Station,1310,142,5.5,0,0,3,11,894.3
2021-11-15,Up-Station,1297,144,5.1,0,0,3,11,846.0
2021-11-22,Up-Station,1335,140,5.5,0,0,3,11,962.3
2021-11-29,Up-Station,1327,138,5.0,0,0,3,11,887.7
2021-12-06,Up-Station,1298,141,5.4,0,0,3,12,863.7
2021-12-13,Up-Station,1372,134,5.2,0,0,3,12,986.0
2021-12-20,Up-Station,1339,141,5.6,0,0,3,12,1042.0
2021-12-27,Up-Station,1352,139,5.5,0,0,3,12,981.7
2022-01-03,Up-Station,1318,136,5.1,0,0,3,1,905.7
2022-01-10,Up-Station,1344,136,5.4,0,0,3,1,890.7
2022-01-17,Up-Station,1344,135,5.1,0,0,3,1,975.9
2022-01-24,Up-Station,1349,134,5.3,0,0,3,1,916.9
2022-01-31,Up-Station,1337,144,5.3,0,0,3,1,875.3
2022-02-07,Up-Station,1292,142,5.2,0,0,3,2,1088.4
2022-02-14,Up-Station,1334,139,5.5,0,0,3,2,832.0
2022-02-21,Up-Station,1355,141,5.3,0,0,3,2,1077.0
2022-02-28,Up-Station,1366,139,5.3,0,0,3,2,980.1
2022-03-07,Up-Station,1279,139,5.1,0,0,3,3,1064.8
2022-03-14,Up-Station,1297,143,5.3,0,0,3,3,1191.2
2022-03-21,Up-Station,1294,137,5.2,0,0,3,3,949.7
2022-03-28,Up-Station,1351,144,5.3,0,0,3,3,1123.8
2022-04-04,Up-Station,1368,135,5.0,0,0,3,4,1284.9
2022-04-11,Up-Station,1314,136,5.2,0,0,3,4,1005.0
2022-04-18,Up-Station,1288,134,5.2,0,0,3,4,1127.2
2022-04-25,Up-Station,1321,135,5.2,0,0,3,4,804.9
2022-05-02,Up-Station,1285,139,5.6,0,0,3,5,1165.8
2022-05-09,Up-Station,1359,142,5.4,0,0,3,5,1173.0
2022-05-16,Up-Station,1364,134,5.1,0,0,3,5,1256.7
2022-05-23,Up-Station,1303,137,5.6,0,0,3,5,1368.8
2022-05-30,Up-Station,1316,137,5.4,0,0,3,5,1021.4
2022-06-06,Up-Station,1311,134,5.4,0,0,3,6,1327.4
2022-06-13,Up-Station,1362,138,5.4,0,0,3,6,1210.3
2022-06-20,Up-Station,1329,141,5.5,0,0,3,6,1141.4
2022-06-27,Up-Station,1358,144,5.3,0,0,3,6,1119.9
2022-07-04,Up-Station,1343,134,5.3,0,0,3,7,1160.8
2022-07-11,Up-Station,1323,136,5.4,0,0,3,7,1056.4
2022-07-18,Up-Station,1364,140,5.5,0,0,3,7,1226.2
2022-07-25,Up-Station,1306,143,5.3,0,0,3,7,1155.6
2022-08-01,Up-Station,1314,142,5.1,0,0,3,8,1134.9
2022-08-08,Up-Station,1299,143,5.2,0,0,3,8,1221.1
2022-08-15,Up-Station,1305,139,5.2,0,0,3,8,1200.2
2022-08-22,Up-Station,1306,142,5.2,0,0,3,8,1127.4
2022-08-29,Up-Station,1366,144,5.3,0,0,3,8,1120.2
2022-09-05,Up-Station,1362,142,5.3,0,0,3,9,1263.9
2022-09-12,Up-Station,1320,140,4.9,0,0,3,9,1048.6
2022-09-19,Up-Station,1349,136,4.8,0,0,3,9,1075.1
2022-09-26,Up-Station,1313,140,5.4,0,0,3,9,1079.6
2022-10-03,Up-Station,1295,137,5.5,0,0,3,10,950.3
2022-10-10,Up-Station,1308,136,5.1,0,0,3,10,1122.7
2022-10-17,Up-Station,1300,140,5.5,0,0,3,10,917.8
2022-10-24,Up-Station,1335,135,5.4,0,0,3,10,1060.3
2022-10-31,Up-Station,1297,134,5.4,0,0,3,10,924.1
2022-11-07,Up-Station,1351,136,5.1,0,0,3,11,925.6
2022-11-14,Up-Station,1350,134,5.5,0,0,3,11,1069.0
2022-11-21,Up-Station,1323,134,5.6,0,0,3,11,908.0
2022-11-28,Up-Station,1286,143,5.4,0,0,3,11,736.3
2022-12-05,Up-Station,1342,144,5.4,0,0,3,12,874.3
2022-12-12,Up-Station,1310,136,5.5,0,0,3,12,925.9
2022-12-19,Up-Station,1363,141,5.5,0,0,3,12,1043.3
2022-12-26,Up-Station,1317,136,5.0,0,0,3,12,1041.6
2023-01-02,Up-Station,1299,139,5.3,0,0,3,1,930.3
2023-01-09,Up-Station,1373,138,5.3,0,0,3,1,992.0
2023-01-16,Up-Station,1335,141,5.4,0,0,3,1,991.5
2023-01-23,Up-Station,1336,143,5.3,0,0,3,1,959.1
2023-01-30,Up-Station,1306,135,5.9,0,0,3,1,919.5
2023-02-06,Up-Station,1325,140,4.9,0,0,3,2,965.7
2023-02-13,Up-Station,1315,143,5.2,0,0,3,2,1022.9
2023-02-20,Up-Station,1352,141,5.2,0,0,3,2,1047.3
2023-02-27,Up-Station,1278,136,5.1,0,0,3,2,959.3
2023-03-06,Up-Station,1367,138,5.2,0,0,3,3,1030.6
2023-03-13,Up-Station,1316,136,5.5,0,0,3,3,1132.8
2023-03-20,Up-Station,1351,141,5.2,0,0,3,3,948.1
2023-03-27,Up-Station,1325,140,5.4,0,0,3,3,1320.0
2023-04-03,Up-Station,1324,143,5.2,0,0,3,4,1033.9
2023-04-10,Up-Station,1280,143,5.3,0,0,3,4,1039.5
2023-04-17,Up-Station,1292,140,5.4,0,0,3,4,1115.2
2023-04-24,Up-Station,1367,139,5.1,0,0,3,4,1375.7
2023-05-01,Up-Station,1328,141,5.2,0,0,3,5,1223.6
2023-05-08,Up-Station,1290,134,5.6,0,0,3,5,1323.8
2023-05-15,Up-Station,1351,138,5.2,0,0,3,5,1084.7
2023-05-22,Up-Station,1348,134,5.1,0,0,3,5,1235.0
2023-05-29,Up-Station,1328,140,5.1,0,0,3,5,1218.5
2023-06-05,Up-Station,1307,139,5.3,0,0,3,6,1450.2
2023-06-12,Up-Station,1278,136,5.3,0,0,3,6,1165.5
2023-06-19,Up-Station,1312,139,5.3,0,0,3,6,1294.5
2023-06-26,Up-Station,1300,144,5.3,0,0,3,6,1366.0
2023-07-03,Up-Station,1374,135,5.1,0,0,3,7,1184.6
2023-07-10,Up-Station,1356,134,5.5,0,0,3,7,1361.1
2023-07-17,Up-Station,1330,142,5.6,0,0,3,7,1304.0
2023-07-24,Up-Station,1324,135,5.2,0,0,3,7,1110.6
2023-07-31,Up-Station,1289,137,5.0,0,0,3,7,1251.8
2023-08-07,Up-Station,1297,137,5.5,0,0,3,8,1230.2
2023-08-14,Up-Station,1375,137,4.8,0,0,3,8,1192.9
2023-08-21,Up-Station,1277,134,5.1,0,0,3,8,1069.2
2023-08-28,Up-Station,1344,144,5.3,0,0,3,8,1107.9
2023-09-04,Up-Station,1300,134,5.1,0,0,3,9,1162.4
2023-09-11,Up-Station,1369,136,4.9,0,0,3,9,1063.3
2023-09-18,Up-Station,1338,135,5.3,0,0,3,9,1060.7
2023-09-25,Up-Station,1294,136,5.4,0,0,3,9,1041.8
2023-10-02,Up-Station,1296,137,5.4,0,0,3,10,1148.7
2023-10-09,Up-Station,1276,136,5.4,0,0,3,10,981.7
2023-10-16,Up-Station,1350,136,5.4,0,0,3,10,944.4
2023-10-23,Up-Station,1316,135,5.1,0,0,3,10,1023.5
2023-10-30,Up-Station,1354,144,5.0,0,0,3,10,880.2
2023-11-06,Up-Station,1301,138,4.9,0,0,3,11,1006.9
2020-01-20,Nkwen,2502,203,4.7,1,1,2,1,1650.8
2020-01-27,Nkwen,2439,199,4.9,1,1,2,1,1951.6
